ArraySize;Time5;Time10;Time20;Time30;Time50
500;0.0883502;0.083975;0.0813918;0.0798418;0.0834666
600;0.109575;0.102409;0.100575;0.0994168;0.105575
700;0.135892;0.115216;0.110258;0.10825;0.116
800;0.142534;0.133842;0.127167;0.127025;0.140183
900;0.16105;0.150617;0.130567;0.131592;0.130925
1000;0.163233;0.154633;0.150342;0.14785;0.152517
1100;0.18175;0.172334;0.166142;0.162808;0.155617
1200;0.178975;0.169525;0.1652;0.162867;0.172542
1300;0.198025;0.188658;0.182925;0.182133;0.181084
1400;0.200158;0.193533;0.185408;0.1821;0.194433
1500;0.234733;0.211525;0.202433;0.194291;0.197083
1600;0.221042;0.207217;0.198633;0.196384;0.221741
1700;0.236958;0.224025;0.207742;0.205008;0.203025
1800;0.234567;0.2229;0.214617;0.216225;0.210083
1900;0.247325;0.231508;0.220825;0.223125;0.2221
2000;0.254266;0.238875;0.231133;0.229142;0.2339
2100;0.265475;0.251042;0.244067;0.242142;0.250758
2200;0.279842;0.266016;0.255967;0.253725;0.2625
2300;0.292067;0.278542;0.272208;0.268067;0.280167
2400;0.305592;0.28885;0.281533;0.28035;0.292809
2500;0.321375;0.305058;0.302575;0.295442;0.313042
2600;0.338092;0.320617;0.315017;0.311775;0.325533
2700;0.353017;0.34115;0.329942;0.327059;0.339342
2800;0.368466;0.359533;0.343583;0.337858;0.358308
2900;0.388067;0.374225;0.357575;0.35195;0.380283
3000;0.435567;0.430592;0.37195;0.366533;0.398525
3100;0.421975;0.4007;0.386367;0.383625;0.414083
3200;0.438592;0.419741;0.397383;0.394192;0.427767
3300;0.4516;0.4362;0.413567;0.412308;0.407942
3400;0.4696;0.445792;0.45245;0.451942;0.442008
3500;0.503508;0.493458;0.4597;0.466384;0.438192
3600;0.4982;0.4999;0.478567;0.468658;0.46945
3700;0.532192;0.499333;0.475783;0.477375;0.475442
3800;0.525242;0.528708;0.48405;0.486859;0.484941
3900;0.556658;0.521133;0.49645;0.5274;0.50815
4000;0.562142;0.540716;0.513983;0.517367;0.5423
4100;0.570492;0.550742;0.542592;0.529767;0.542067
4200;0.587875;0.573517;0.543467;0.539067;0.552259
4300;0.602208;0.589775;0.570942;0.553558;0.564767
4400;0.61985;0.5855;0.5714;0.568033;0.581941
4500;0.629125;0.602775;0.580008;0.57915;0.614067
4600;0.653058;0.612716;0.601367;0.593925;0.613284
4700;0.657733;0.63155;0.609975;0.608708;0.629959
4800;0.67205;0.643742;0.642083;0.623317;0.645566
4900;0.688183;0.657466;0.639292;0.642625;0.664825
5000;0.703916;0.675458;0.657225;0.657742;0.701933
5100;0.71365;0.687617;0.695842;0.669767;0.7051
5200;0.752509;0.724025;0.707058;0.69985;0.720533
5300;0.780083;0.73345;0.754241;0.717458;0.742108
5400;0.819658;0.747192;0.740758;0.75085;0.768175
5500;0.812242;0.810542;0.7591;0.746967;0.77725
5600;0.832858;0.810042;0.807108;0.798717;0.816158
5700;0.862633;0.805991;0.792767;0.771166;0.819617
5800;0.874142;0.833683;0.816792;0.792475;0.851708
5900;0.886633;0.866708;0.805084;0.809742;0.866358
6000;0.907583;0.866091;0.829983;0.836375;0.8919
6100;0.93495;0.874008;0.870208;0.831658;0.898375
6200;0.933684;0.899283;0.871533;0.841217;0.923717
6300;0.942016;0.926759;0.8794;0.866949;0.929075
6400;0.985125;0.926667;0.908817;0.884908;0.948558
6500;1.00216;0.931033;0.923108;0.884742;0.916425
6600;0.993509;0.984475;0.934708;0.919891;0.926183
6700;1.02452;0.97095;0.9442;0.922733;0.941158
6800;1.03186;0.992675;0.97275;0.956075;0.963158
6900;1.05764;1.00588;0.973775;0.973058;0.979475
7000;1.06752;1.0139;0.973925;0.978425;0.966775
7100;1.08931;1.02944;0.989009;0.996;0.984
7200;1.08737;1.03699;1.00286;0.995667;0.996583
7300;1.1004;1.05623;1.01499;1.01668;1.0315
7400;1.11478;1.06821;1.02674;1.03879;1.04171
7500;1.13452;1.08789;1.04549;1.05537;1.04811
7600;1.15182;1.09606;1.06164;1.07251;1.06634
7700;1.18476;1.12464;1.08141;1.07807;1.08058
7800;1.18067;1.12813;1.09101;1.10481;1.11382
7900;1.19431;1.14738;1.10618;1.18009;1.11455
8000;1.2162;1.16353;1.13428;1.12102;1.13648
8100;1.22403;1.17426;1.13488;1.14176;1.15266
8200;1.23942;1.1891;1.15317;1.15098;1.17468
8300;1.28052;1.21583;1.18138;1.19358;1.19941
8400;1.29008;1.24611;1.21554;1.18853;1.21437
8500;1.29682;1.24159;1.20151;1.19874;1.22357
8600;1.31141;1.25218;1.21651;1.22779;1.24057
8700;1.32142;1.26645;1.23803;1.23687;1.26058
8800;1.33723;1.28595;1.24668;1.24651;1.27018
8900;1.35217;1.29793;1.27277;1.26723;1.28898
9000;1.37138;1.31764;1.27696;1.2744;1.3067
9100;1.38781;1.33364;1.2993;1.29009;1.32276
9200;1.40121;1.34619;1.30937;1.31071;1.33828
9300;1.41161;1.35869;1.32362;1.32557;1.35698
9400;1.43281;1.3729;1.34719;1.34207;1.37538
9500;1.45329;1.39996;1.35841;1.35362;1.39813
9600;1.47017;1.40383;1.36818;1.36796;1.41452
9700;1.48368;1.41814;1.42003;1.40806;1.46673
9800;1.54006;1.46496;1.45212;1.41287;1.45178
9900;1.51273;1.44891;1.4187;1.41346;1.46681
10000;1.54166;1.46797;1.43834;1.43812;1.48532
