Time;Array Size
0.0554835;500
0.0595916;600
0.067025;700
0.066025;800
0.0658623;900
0.0784002;1000
0.0794375;1100
0.0879708;1200
0.0849542;1300
0.088675;1400
0.095046;1500
0.100846;1600
0.107121;1700
0.112458;1800
0.119438;1900
0.136958;2000
0.147642;2100
0.156354;2200
0.160763;2300
0.168363;2400
0.175717;2500
0.182558;2600
0.191342;2700
0.198013;2800
0.204804;2900
0.212342;3000
0.218067;3100
0.223583;3200
0.230033;3300
0.239058;3400
0.259275;3500
0.252167;3600
0.273546;3700
0.272821;3800
0.351912;3900
0.308746;4000
0.322692;4100
0.327546;4200
0.346233;4300
0.394817;4400
0.391417;4500
0.556042;4600
0.387362;4700
0.386146;4800
0.393554;4900
0.391808;5000
0.406779;5100
0.410158;5200
0.418588;5300
0.425508;5400
0.4307;5500
0.437017;5600
0.452154;5700
0.45775;5800
0.461975;5900
0.470517;6000
0.477246;6100
0.487388;6200
0.494121;6300
0.50355;6400
0.516279;6500
0.518013;6600
0.525496;6700
0.5433;6800
0.540558;6900
0.549712;7000
0.560321;7100
0.565767;7200
0.570871;7300
0.581133;7400
0.588304;7500
0.596742;7600
0.617921;7700
0.627171;7800
0.648487;7900
0.666875;8000
0.685083;8100
0.704375;8200
0.710284;8300
0.717663;8400
0.7265;8500
0.738313;8600
0.743812;8700
0.752358;8800
0.797029;8900
0.77195;9000
0.77737;9100
0.798054;9200
0.792788;9300
0.801363;9400
0.813737;9500
0.822563;9600
0.8308;9700
0.853858;9800
0.847654;9900
0.859988;10000
