ArraySize;Time5;Time10;Time20;Time30;Time50
500;0.0548584;0.0485582;0.04245;0.0421664;0.037492
600;0.0664248;0.0585918;0.052333;0.0514834;0.0470084
700;0.0820164;0.0773;0.0694582;0.0615666;0.0552002
800;0.0995834;0.089125;0.0710248;0.0627834;0.0588502
900;0.0984998;0.0927;0.0785662;0.0710996;0.0705
1000;0.109183;0.0982252;0.086975;0.086525;0.0793082
1100;0.120166;0.107333;0.09565;0.0876164;0.0783
1200;0.118992;0.1059;0.0945584;0.0939248;0.0884584
1300;0.128775;0.119975;0.106975;0.10315;0.0957414
1400;0.144683;0.127558;0.112342;0.10035;0.092742
1500;0.143917;0.13345;0.120383;0.107592;0.104642
1600;0.15695;0.140958;0.127017;0.114309;0.108358
1700;0.162317;0.13815;0.12475;0.11235;0.111775
1800;0.1622;0.146183;0.1322;0.12175;0.1193
1900;0.172;0.155234;0.140175;0.128259;0.127375
2000;0.176392;0.153917;0.139225;0.141367;0.128367
2100;0.177041;0.15775;0.14435;0.142967;0.131092
2200;0.182566;0.165475;0.14605;0.147583;0.132333
2300;0.182567;0.170425;0.151033;0.149842;0.139733
2400;0.190375;0.195891;0.152416;0.150392;0.148458
2500;0.202458;0.173659;0.157742;0.157317;0.148025
2600;0.203142;0.181117;0.167892;0.160842;0.162033
2700;0.218083;0.194292;0.184917;0.173017;0.157508
2800;0.231666;0.209666;0.196958;0.184692;0.167358
2900;0.234484;0.217809;0.197983;0.180683;0.178175
3000;0.244442;0.231834;0.216842;0.187775;0.175767
3100;0.25215;0.233567;0.212225;0.19455;0.18545
3200;0.26655;0.24125;0.219167;0.204759;0.191775
3300;0.269875;0.247783;0.226092;0.206425;0.207283
3400;0.283509;0.256933;0.233108;0.212825;0.212175
3500;0.288333;0.265875;0.241425;0.221483;0.2206
3600;0.294508;0.275242;0.247767;0.228892;0.22775
3700;0.304842;0.279484;0.254417;0.238617;0.2337
3800;0.313483;0.296433;0.260625;0.24175;0.240325
3900;0.317808;0.298333;0.266883;0.258175;0.247267
4000;0.326358;0.3011;0.275533;0.272783;0.253567
4100;0.333183;0.307458;0.280558;0.281467;0.261108
4200;0.343117;0.320883;0.2891;0.287608;0.268183
4300;0.353142;0.325008;0.296808;0.297617;0.276942
4400;0.362108;0.334508;0.304875;0.30175;0.282892
4500;0.368325;0.338117;0.311983;0.319658;0.288591
4600;0.374608;0.345783;0.316125;0.314875;0.29835
4700;0.383575;0.355608;0.32395;0.324375;0.302583
4800;0.393658;0.361775;0.3418;0.330358;0.3124
4900;0.402025;0.395075;0.339717;0.336967;0.321091
5000;0.407975;0.398284;0.356383;0.354208;0.328108
5100;0.427625;0.394617;0.35345;0.354925;0.346892
5200;0.439958;0.402675;0.37835;0.373442;0.348008
5300;0.46515;0.425383;0.408367;0.370708;0.347983
5400;0.455633;0.428533;0.4207;0.376008;0.358083
5500;0.464492;0.442491;0.419492;0.3835;0.3597
5600;0.473667;0.458275;0.424583;0.396725;0.367942
5700;0.48605;0.464433;0.431825;0.400559;0.376342
5800;0.497384;0.474075;0.442183;0.404492;0.384133
5900;0.513158;0.486467;0.448417;0.417192;0.400833
6000;0.52815;0.495716;0.4587;0.422675;0.400483
6100;0.534542;0.496442;0.463433;0.430117;0.408175
6200;0.5487;0.50465;0.470258;0.4345;0.415533
6300;0.558275;0.517558;0.479708;0.442325;0.425083
6400;0.565833;0.522492;0.486158;0.449325;0.428667
6500;0.587033;0.534342;0.495467;0.46035;0.456341
6600;0.586233;0.537092;0.539108;0.462142;0.466583
6700;0.597192;0.574417;0.518925;0.476517;0.476875
6800;0.6225;0.573859;0.521017;0.500975;0.488492
6900;0.61765;0.58555;0.534225;0.498042;0.497167
7000;0.650775;0.587742;0.534867;0.519791;0.503
7100;0.652083;0.617367;0.5406;0.516525;0.505417
7200;0.658017;0.59805;0.551483;0.52055;0.521792
7300;0.653092;0.623775;0.577475;0.522742;0.530858
7400;0.673425;0.640583;0.587283;0.524917;0.533458
7500;0.683466;0.628975;0.5843;0.551158;0.535983
7600;0.679925;0.639367;0.594533;0.542042;0.544317
7700;0.7253;0.644642;0.6127;0.5522;0.572958
7800;0.738391;0.640833;0.611133;0.58075;0.575808
7900;0.706317;0.661992;0.619733;0.605308;0.578175
8000;0.716634;0.683142;0.622341;0.615767;0.584984
8100;0.749391;0.678816;0.624533;0.633125;0.5875
8200;0.724591;0.689383;0.639767;0.638733;0.5865
8300;0.750817;0.693458;0.634083;0.641283;0.608
8400;0.754658;0.692767;0.656517;0.645067;0.615858
8500;0.774983;0.725884;0.670383;0.668383;0.625842
8600;0.777592;0.721983;0.663225;0.669833;0.623916
8700;0.788708;0.728642;0.677442;0.665183;0.639542
8800;0.806059;0.734342;0.676775;0.700592;0.634292
8900;0.803525;0.737033;0.690217;0.691142;0.656033
9000;0.823075;0.756258;0.710242;0.721108;0.647034
9100;0.812759;0.752009;0.693592;0.713175;0.650275
9200;0.828175;0.748292;0.703283;0.7216;0.665242
9300;0.834233;0.777883;0.706617;0.713758;0.669067
9400;0.829809;0.7804;0.715509;0.711467;0.671442
9500;0.8329;0.777183;0.722333;0.718891;0.679175
9600;0.847425;0.787925;0.744309;0.728692;0.692684
9700;0.858275;0.797384;0.738183;0.739983;0.702442
9800;0.861358;0.804617;0.745741;0.749925;0.7038
9900;0.869167;0.812483;0.752908;0.751242;0.710183
10000;0.8739;0.821516;0.760183;0.759542;0.717683
