Time;Array Size
0.0979252;500
0.105696;600
0.110542;700
0.115654;800
0.130767;900
0.143092;1000
0.146546;1100
0.147921;1200
0.153833;1300
0.164596;1400
0.168233;1500
0.180937;1600
0.193;1700
0.210729;1800
0.220638;1900
0.237759;2000
0.254275;2100
0.268062;2200
0.281362;2300
0.294037;2400
0.308308;2500
0.320529;2600
0.344238;2700
0.349841;2800
0.367454;2900
0.372992;3000
0.389725;3100
0.403309;3200
0.416129;3300
0.433037;3400
0.459567;3500
0.470659;3600
0.4726;3700
0.495337;3800
0.526671;3900
0.652971;4000
0.650608;4100
0.836246;4200
0.608888;4300
0.639892;4400
0.637004;4500
0.664175;4600
1.25544;4700
0.692367;4800
0.730046;4900
0.681575;5000
0.692092;5100
0.7185;5200
0.726642;5300
0.737796;5400
0.753446;5500
0.767921;5600
0.780467;5700
0.823337;5800
0.817108;5900
0.830371;6000
0.843617;6100
0.864391;6200
0.876771;6300
0.892458;6400
0.901479;6500
0.923087;6600
0.940163;6700
0.959575;6800
0.975333;6900
0.990013;7000
0.995595;7100
1.01472;7200
1.02996;7300
1.05845;7400
1.06566;7500
1.07337;7600
1.09738;7700
1.11647;7800
1.14928;7900
1.16015;8000
1.18498;8100
1.20542;8200
1.22411;8300
1.23662;8400
1.27955;8500
1.27249;8600
1.29183;8700
1.30183;8800
1.3165;8900
1.32785;9000
1.34293;9100
1.38966;9200
1.38066;9300
1.39002;9400
1.41457;9500
1.42836;9600
1.44203;9700
1.45364;9800
1.49426;9900
1.491;10000
