Time;Array Size
0.0656876;500
0.0675168;600
0.0726002;700
0.0800417;800
0.0892958;900
0.0891834;1000
0.0874585;1100
0.0891665;1200
0.0936333;1300
0.100179;1400
0.114342;1500
0.118792;1600
0.127183;1700
0.137929;1800
0.147096;1900
0.147271;2000
0.1486;2100
0.157458;2200
0.166883;2300
0.176079;2400
0.184521;2500
0.201566;2600
0.207463;2700
0.224329;2800
0.222275;2900
0.232334;3000
0.244075;3100
0.253292;3200
0.265313;3300
0.273821;3400
0.285092;3500
0.299633;3600
0.309975;3700
0.358846;3800
0.326312;3900
0.373125;4000
0.362867;4100
0.331487;4200
0.350483;4300
0.394171;4400
0.394388;4500
0.476604;4600
0.517358;4700
0.451104;4800
0.397275;4900
0.402325;5000
0.413988;5100
0.423283;5200
0.432108;5300
0.443396;5400
0.450979;5500
0.462292;5600
0.479525;5700
0.489242;5800
0.493896;5900
0.505479;6000
0.528846;6100
0.540867;6200
0.550417;6300
0.57165;6400
0.572296;6500
0.585617;6600
0.594742;6700
0.618583;6800
0.619746;6900
0.631067;7000
0.64;7100
0.651446;7200
0.664;7300
0.693059;7400
0.685596;7500
0.69985;7600
0.711879;7700
0.707217;7800
0.703846;7900
0.699525;8000
0.702308;8100
0.693287;8200
0.701517;8300
0.714563;8400
0.744163;8500
0.730246;8600
0.743008;8700
0.752496;8800
0.762396;8900
0.773096;9000
0.780558;9100
0.812008;9200
0.799221;9300
0.807658;9400
0.818017;9500
0.83095;9600
0.844112;9700
0.859358;9800
0.866792;9900
0.874087;10000
