ArraySize;Time5;Time10;Time20;Time30;Time50
500;0.059183;0.0520504;0.0605418;0.0606582;0.0870332
600;0.0624918;0.0657336;0.0788668;0.0788252;0.108783
700;0.0747834;0.0749084;0.0802834;0.101917;0.141017
800;0.088775;0.0885334;0.0969084;0.109833;0.165408
900;0.087917;0.0928584;0.100658;0.132608;0.132967
1000;0.107809;0.104317;0.116408;0.116358;0.151659
1100;0.0991166;0.103067;0.12735;0.119883;0.161975
1200;0.116141;0.11935;0.141125;0.135875;0.185741
1300;0.118567;0.114725;0.13015;0.137108;0.199316
1400;0.1177;0.117458;0.126225;0.152442;0.214683
1500;0.141208;0.125625;0.138483;0.165683;0.218583
1600;0.127617;0.127642;0.138467;0.171991;0.244175
1700;0.163417;0.133975;0.153833;0.222392;0.188242
1800;0.143;0.137717;0.154033;0.187625;0.187025
1900;0.140608;0.142425;0.160317;0.211775;0.213725
2000;0.153067;0.1529;0.164192;0.164025;0.210483
2100;0.153033;0.15595;0.175342;0.185042;0.22855
2200;0.157967;0.157716;0.181233;0.1816;0.254742
2300;0.1564;0.169225;0.1966;0.194975;0.248159
2400;0.163233;0.176441;0.200175;0.199283;0.2685
2500;0.176642;0.1796;0.211275;0.211942;0.284408
2600;0.1795;0.187992;0.212934;0.22295;0.301016
2700;0.189908;0.194992;0.200533;0.235667;0.320633
2800;0.195858;0.196567;0.208342;0.250467;0.340283
2900;0.205517;0.20405;0.2162;0.259892;0.359367
3000;0.215516;0.208942;0.226833;0.273541;0.378925
3100;0.221817;0.215642;0.240359;0.301358;0.400634
3200;0.232858;0.226067;0.248634;0.302175;0.42335
3300;0.239375;0.236092;0.259808;0.314608;0.316208
3400;0.245209;0.244942;0.268992;0.3327;0.329392
3500;0.251017;0.255275;0.2814;0.343492;0.3441
3600;0.256333;0.260517;0.289725;0.357958;0.358825
3700;0.269075;0.269767;0.300742;0.376441;0.373408
3800;0.275908;0.2807;0.311917;0.389025;0.38885
3900;0.282642;0.293283;0.324842;0.3658;0.40515
4000;0.2904;0.298117;0.33695;0.333241;0.420817
4100;0.298025;0.307742;0.346316;0.366125;0.44025
4200;0.312983;0.314908;0.377033;0.357092;0.4555
4300;0.315142;0.323292;0.3881;0.391325;0.467767
4400;0.322167;0.339192;0.381216;0.3803;0.495742
4500;0.331217;0.348725;0.39255;0.389533;0.513392
4600;0.338533;0.365592;0.402167;0.417625;0.529367
4700;0.358791;0.359583;0.426725;0.4149;0.551333
4800;0.375033;0.385625;0.427483;0.441617;0.560867
4900;0.371317;0.382216;0.443559;0.450425;0.580483
5000;0.370733;0.400467;0.4518;0.451008;0.600075
5100;0.379208;0.400125;0.468242;0.463667;0.6172
5200;0.388792;0.405116;0.455709;0.477016;0.63125
5300;0.396433;0.411625;0.444908;0.489242;0.651566
5400;0.413266;0.422667;0.429583;0.50125;0.675875
5500;0.416633;0.423592;0.4404;0.515241;0.692108
5600;0.424458;0.4249;0.449308;0.528608;0.715617
5700;0.43125;0.4286;0.457258;0.541809;0.73455
5800;0.4407;0.4379;0.4677;0.553709;0.752292
5900;0.451867;0.445175;0.4844;0.574008;0.773833
6000;0.463309;0.451492;0.491733;0.587933;0.81935
6100;0.4837;0.467767;0.522125;0.629858;0.851342
6200;0.506883;0.48235;0.554283;0.632758;0.858883
6300;0.5064;0.516317;0.544792;0.648392;0.904375
6400;0.5088;0.502267;0.560117;0.652067;0.919133
6500;0.51615;0.515792;0.58435;0.663925;0.729617
6600;0.534067;0.529125;0.57855;0.687225;0.6868
6700;0.5308;0.527083;0.595267;0.7111;0.710208
6800;0.539442;0.54105;0.5994;0.713258;0.722492
6900;0.564633;0.555742;0.612125;0.735517;0.739792
7000;0.552208;0.564533;0.630817;0.737217;0.756958
7100;0.564925;0.580425;0.625842;0.766108;0.763759
7200;0.574242;0.58015;0.63135;0.776533;0.765367
7300;0.5909;0.581175;0.641517;0.821125;0.794609
7400;0.599625;0.5999;0.6588;0.809867;0.808058
7500;0.594667;0.614975;0.674033;0.831092;0.823992
7600;0.607184;0.631942;0.6812;0.844417;0.849725
7700;0.624883;0.623783;0.709466;0.8344;0.872983
7800;0.634917;0.647717;0.704333;0.800708;0.868234
7900;0.641359;0.668208;0.726892;0.734667;0.9007
8000;0.643367;0.665367;0.735325;0.729317;0.90025
8100;0.667342;0.67695;0.75635;0.749308;0.954708
8200;0.665292;0.702533;0.763133;0.761542;0.946042
8300;0.690825;0.690142;0.791592;0.771475;0.980892
8400;0.68295;0.708608;0.784142;0.791783;0.984642
8500;0.698592;0.718534;0.801575;0.794683;0.993283
8600;0.701034;0.75215;0.817633;0.799617;1.00558
8700;0.707925;0.723508;0.814358;0.812025;1.01714
8800;0.715508;0.733475;0.82835;0.824483;1.03963
8900;0.736117;0.741317;0.845509;0.838025;1.05785
9000;0.73055;0.749908;0.855541;0.849217;1.07372
9100;0.733417;0.802542;0.891958;0.860008;1.09628
9200;0.742692;0.77355;0.873667;0.875142;1.10864
9300;0.750808;0.780358;0.886558;0.887483;1.12847
9400;0.754333;0.7841;0.897225;0.900075;1.16267
9500;0.7653;0.798575;0.909625;0.915025;1.16895
9600;0.780134;0.806766;0.925292;0.924733;1.18224
9700;0.7944;0.826867;0.94565;0.9412;1.20867
9800;0.799175;0.837717;0.958017;0.954066;1.22549
9900;0.812575;0.843425;0.967675;0.9651;1.26737
10000;0.814633;0.871267;1.00164;0.990083;1.28619
