Time;Array Size
0.0824959;500
0.091225;600
0.095579;700
0.102734;800
0.0998583;900
0.115071;1000
0.118521;1100
0.12055;1200
0.123987;1300
0.135083;1400
0.13665;1500
0.146317;1600
0.156587;1700
0.164279;1800
0.174625;1900
0.191129;2000
0.194846;2100
0.208054;2200
0.218496;2300
0.230367;2400
0.240654;2500
0.249825;2600
0.269671;2700
0.275829;2800
0.28845;2900
0.294575;3000
0.302742;3100
0.317913;3200
0.3261;3300
0.336975;3400
0.350417;3500
0.372179;3600
0.381683;3700
0.386063;3800
0.389425;3900
0.4657;4000
0.475038;4100
0.445321;4200
0.453283;4300
0.508842;4400
0.518821;4500
0.605042;4600
0.521858;4700
0.503358;4800
0.520275;4900
0.525296;5000
0.531642;5100
0.541792;5200
0.559033;5300
0.569083;5400
0.581496;5500
0.589179;5600
0.616442;5700
0.625033;5800
0.630488;5900
0.634025;6000
0.643029;6100
0.655617;6200
0.668054;6300
0.693725;6400
0.696733;6500
0.715867;6600
0.730383;6700
0.746504;6800
0.741988;6900
0.747979;7000
0.754938;7100
0.775729;7200
0.778958;7300
0.817254;7400
0.803229;7500
0.834566;7600
0.839904;7700
0.843313;7800
0.854337;7900
0.862854;8000
0.877487;8100
0.88175;8200
0.898479;8300
0.909138;8400
0.9359;8500
0.9517;8600
0.965283;8700
0.975937;8800
0.989296;8900
0.994304;9000
1.01118;9100
1.03203;9200
1.03563;9300
1.04044;9400
1.06073;9500
1.0695;9600
1.08678;9700
1.11146;9800
1.10645;9900
1.10928;10000
