Time;Array Size
0.128721;500
0.135821;600
0.141183;700
0.156596;800
0.168283;900
0.170283;1000
0.177025;1100
0.178696;1200
0.185533;1300
0.200775;1400
0.217438;1500
0.238225;1600
0.242479;1700
0.253741;1800
0.274263;1900
0.286792;2000
0.302796;2100
0.319021;2200
0.337196;2300
0.352758;2400
0.367463;2500
0.383721;2600
0.404087;2700
0.431438;2800
0.455229;2900
0.460196;3000
0.472767;3100
0.495992;3200
0.508404;3300
0.521441;3400
0.541246;3500
0.557492;3600
0.596609;3700
0.598946;3800
0.616021;3900
0.770554;4000
0.815212;4100
0.753333;4200
0.703417;4300
0.767467;4400
0.826312;4500
0.764079;4600
0.888421;4700
0.834958;4800
0.931221;4900
0.798296;5000
0.821692;5100
0.835404;5200
0.854092;5300
0.913425;5400
0.8915;5500
0.9114;5600
0.935037;5700
0.971742;5800
0.970742;5900
0.987433;6000
0.99995;6100
1.02039;6200
1.03914;6300
1.05463;6400
1.07918;6500
1.10132;6600
1.11679;6700
1.14262;6800
1.17419;6900
1.17014;7000
1.18975;7100
1.20594;7200
1.22078;7300
1.24904;7400
1.29579;7500
1.28012;7600
1.30803;7700
1.32883;7800
1.34798;7900
1.35378;8000
1.37748;8100
1.3802;8200
1.40675;8300
1.42925;8400
1.47981;8500
1.48512;8600
1.49927;8700
1.51486;8800
1.52834;8900
1.55745;9000
1.56576;9100
1.58122;9200
1.60219;9300
1.62503;9400
1.6424;9500
1.67368;9600
1.68432;9700
1.69404;9800
1.75532;9900
1.73749;10000
